iter	Passed	Remaining
421	2106	2885
422	2111	2880
423	2117	2876
424	2121	2869
425	2124	2863
426	2130	2859
427	2135	2853
428	2138	2846
429	2142	2840
430	2148	2837
431	2152	2830
432	2156	2823
433	2160	2818
434	2165	2813
435	2169	2806
436	2173	2799
437	2179	2796
438	2183	2790
439	2187	2784
440	2191	2777
441	2197	2773
442	2201	2768
443	2205	2761
444	2211	2758
445	2216	2752
446	2219	2746
447	2223	2740
448	2230	2736
449	2234	2730
450	2237	2724
451	2243	2720
452	2247	2714
453	2251	2707
454	2255	2701
455	2261	2697
456	2265	2691
457	2268	2684
458	2272	2678
459	2277	2673
460	2282	2668
461	2285	2661
462	2290	2656
463	2295	2651
464	2298	2644
465	2302	2638
466	2308	2634
467	2312	2628
468	2316	2622
469	2319	2616
470	2325	2612
471	2330	2607
472	2334	2600
473	2338	2595
474	2343	2590
475	2347	2584
476	2352	2578
477	2358	2575
478	2363	2570
479	2367	2565
480	2375	2562
481	2379	2557
482	2384	2552
483	2392	2550
484	2397	2545
485	2403	2542
486	2409	2538
487	2414	2533
488	2421	2529
489	2427	2526
490	2431	2520
491	2436	2516
492	2441	2510
493	2445	2504
494	2448	2498
495	2455	2495
496	2459	2489
497	2463	2483
498	2467	2477
499	2472	2472
500	2475	2465
501	2479	2460
502	2485	2455
503	2489	2450
504	2493	2444
505	2497	2437
506	2544	2474
507	2560	2480
508	2570	2479
509	2576	2475
510	2583	2472
511	2589	2467
512	2593	2462
513	2600	2459
514	2605	2453
515	2609	2447
516	2614	2442
517	2618	2436
518	2623	2431
519	2627	2425
520	2631	2419
521	2648	2424
522	2652	2419
523	2656	2412
524	2659	2406
525	2666	2402
526	2670	2396
527	2673	2390
528	2678	2384
529	2684	2380
530	2688	2374
531	2692	2368
532	2699	2365
533	2703	2359
534	2707	2353
535	2713	2349
536	2718	2343
537	2721	2337
538	2726	2331
539	2732	2327
540	2736	2321
541	2740	2315
542	2746	2311
543	2750	2305
544	2754	2299
545	2758	2293
546	2764	2289
547	2768	2283
548	2772	2277
549	2777	2272
550	2782	2267
551	2785	2260
552	2789	2254
553	2795	2250
554	2798	2244
555	2802	2238
556	2806	2231
557	2811	2227
558	2815	2221
559	2819	2215
560	2823	2209
561	2829	2205
562	2833	2199
563	2837	2193
564	2843	2189
565	2848	2183
566	2851	2177
567	2855	2171
568	2860	2166
569	2864	2160
570	2868	2155
571	2872	2149
572	2877	2144
573	2881	2138
574	2884	2132
575	2889	2127
576	2894	2121
577	2897	2115
578	2901	2109
579	2906	2104
580	2911	2099
581	2914	2093
582	2918	2087
583	2923	2082
584	2928	2077
585	2931	2071
586	2935	2065
587	2941	2060
588	2945	2055
589	2948	2049
590	2952	2043
591	2958	2039
592	2962	2033
593	2966	2027
594	2972	2023
595	2976	2017
596	2980	2011
597	2983	2005
598	2988	2000
599	2993	1995
600	2996	1989
601	3000	1983
602	3004	1978
603	3008	1972
604	3012	1966
605	3015	1960
606	3021	1955
607	3025	1950
608	3028	1944
609	3032	1938
610	3038	1934
611	3042	1928
612	3046	1923
613	3050	1917
614	3056	1913
615	3060	1907
616	3063	1901
617	3069	1897
618	3073	1891
619	3077	1885
620	3080	1880
621	3087	1876
622	3091	1870
623	3094	1864
624	3098	1859
625	3104	1854
626	3108	1849
627	3112	1843
628	3117	1838
629	3121	1833
630	3125	1827
631	3130	1822
632	3135	1818
633	3139	1812
634	3143	1806
635	3147	1801
636	3153	1796
637	3157	1791
638	3161	1785
639	3167	1781
640	3171	1776
641	3175	1770
642	3179	1765
643	3185	1761
644	3189	1755
645	3192	1749
646	3198	1744
647	3202	1739
648	3206	1734
649	3210	1728
650	3215	1723
651	3219	1718
652	3223	1712
653	3226	1707
654	3232	1702
655	3236	1697
656	3240	1691
657	3244	1686
658	3249	1681
659	3253	1675
660	3257	1670
661	3262	1665
662	3268	1661
663	3271	1655
664	3275	1650
665	3281	1645
666	3285	1640
667	3289	1634
668	3293	1629
669	3298	1624
670	3302	1619
671	3305	1613
672	3310	1608
673	3315	1603
674	3319	1598
675	3322	1592
676	3328	1588
677	3332	1582
678	3336	1577
679	3340	1571
680	3346	1567
681	3350	1562
682	3353	1556
683	3357	1551
684	3364	1546
685	3367	1541
686	3371	1535
687	3376	1531
688	3380	1526
689	3384	1520
690	3388	1515
691	3393	1510
692	3397	1505
693	3401	1499
694	3406	1494
695	3413	1490
696	3418	1486
697	3424	1481
698	3431	1477
699	3436	1472
700	3443	1468
701	3448	1463
702	3453	1458
703	3461	1455
704	3466	1450
705	3470	1445
706	3476	1440
707	3480	1435
708	3484	1430
709	3488	1424
710	3493	1420
711	3497	1414
712	3500	1409
713	3505	1404
714	3510	1399
715	3514	1394
716	3518	1388
717	3525	1384
718	3528	1379
719	3532	1373
720	3536	1368
721	3541	1363
722	3545	1358
723	3549	1353
724	3553	1347
725	3558	1343
726	3562	1337
727	3565	1332
728	3570	1327
729	3576	1322
730	3579	1317
731	3583	1311
732	3589	1307
733	3593	1302
734	3597	1297
735	3601	1291
736	3606	1287
737	3610	1281
738	3613	1276
739	3618	1271
740	3623	1266
741	3627	1261
742	3630	1255
743	3636	1251
744	3640	1246
745	3644	1240
746	3647	1235
747	3653	1230
748	3657	1225
749	3661	1220
750	3664	1215
751	3671	1210
752	3675	1205
753	3679	1200
754	3684	1195
755	3689	1190
756	3693	1185
757	3696	1180
758	3701	1175
759	3705	1170
760	3709	1165
761	3713	1159
762	3719	1155
763	3723	1150
764	3727	1144
765	3732	1140
766	3737	1135
767	3740	1130
768	3744	1124
769	3749	1120
770	3754	1115
771	3757	1109
772	3761	1104
773	3768	1100
774	3773	1095
775	3777	1090
776	3783	1085
777	3787	1080
778	3791	1075
779	3795	1070
780	3801	1066
781	3806	1061
782	3810	1055
783	3816	1051
784	3821	1046
785	3825	1041
786	3830	1036
787	3836	1032
788	3840	1026
789	3844	1021
790	3850	1017
791	3854	1012
792	3858	1007
793	3865	1002
794	3870	997
795	3874	992
796	3880	988
797	3885	983
798	3889	978
799	3895	973
800	3901	969
801	3906	964
802	3912	959
803	3917	955
804	3921	949
805	3925	944
806	3930	940
807	3934	934
808	3937	929
809	3942	924
810	3947	919
811	3950	914
812	3954	909
813	3959	904
814	3964	899
815	3967	894
816	3971	889
817	3977	884
818	3981	880
819	3985	874
820	3989	869
821	3994	865
822	3998	859
823	4002	854
824	4006	849
825	4011	845
826	4015	840
827	4019	834
828	4023	829
829	4028	825
830	4032	820
831	4036	814
832	4040	810
833	4045	805
834	4048	800
835	4052	794
836	4058	790
837	4062	785
838	4066	780
839	4069	775
840	4075	770
841	4079	765
842	4083	760
843	4087	755
844	4093	750
845	4097	745
846	4100	740
847	4106	736
848	4111	731
849	4115	726
850	4118	721
851	4124	716
852	4128	711
853	4131	706
854	4136	701
855	4141	696
856	4145	691
857	4148	686
858	4152	681
859	4158	676
860	4162	671
861	4165	666
862	4171	662
863	4175	657
864	4179	652
865	4183	647
866	4189	642
867	4193	637
868	4197	632
869	4202	627
870	4207	623
871	4211	618
872	4215	613
873	4222	608
874	4226	603
875	4229	598
876	4234	593
877	4239	589
878	4243	584
879	4246	579
880	4251	574
881	4255	569
882	4259	564
883	4263	559
884	4268	554
885	4273	549
886	4277	544
887	4282	540
888	4287	535
889	4291	530
890	4295	525
891	4300	520
892	4306	515
893	4309	510
894	4313	506
895	4319	501
896	4323	496
897	4327	491
898	4332	486
899	4337	481
900	4340	476
901	4344	471
902	4349	467
903	4353	462
904	4357	457
905	4360	452
906	4365	447
907	4369	442
908	4373	437
909	4377	432
910	4382	428
911	4386	423
912	4390	418
913	4393	413
914	4400	408
915	4403	403
916	4407	398
917	4412	394
918	4417	389
919	4421	384
920	4424	379
921	4430	374
922	4434	369
923	4438	365
924	4441	360
925	4448	355
926	4453	350
927	4457	345
928	4464	341
929	4469	336
930	4474	331
931	4481	326
932	4486	322
933	4491	317
934	4499	312
935	4504	307
936	4509	303
937	4514	298
938	4518	293
939	4521	288
940	4527	283
941	4531	279
942	4535	274
943	4538	269
944	4544	264
945	4548	259
946	4552	254
947	4557	249
948	4561	245
949	4566	240
950	4570	235
951	4574	230
952	4578	225
953	4582	220
954	4585	216
955	4590	211
956	4595	206
957	4598	201
958	4602	196
959	4607	191
960	4612	187
961	4616	182
962	4620	177
963	4626	172
964	4630	167
965	4634	163
966	4639	158
967	4644	153
968	4648	148
969	4652	143
970	4659	139
971	4663	134
972	4666	129
973	4672	124
974	4677	119
975	4681	115
976	4685	110
977	4691	105
978	4695	100
979	4698	95
980	4703	91
981	4708	86
982	4712	81
983	4716	76
984	4722	71
985	4726	67
986	4729	62
987	4733	57
988	4740	52
989	4743	47
990	4747	43
991	4752	38
992	4757	33
993	4761	28
994	4765	23
995	4770	19
996	4775	14
997	4778	9
998	4782	4
999	4788	0
