iter	MultiClass
0	1.257342494
1	1.166966908
2	1.102020895
3	1.033347998
4	0.9771298823
5	0.9151061191
6	0.8659026394
7	0.8252909517
8	0.7808315746
9	0.7494497773
10	0.7169888085
11	0.6888422466
12	0.659747507
13	0.6370427033
14	0.612035859
15	0.5895167623
16	0.5741784069
17	0.5566298273
18	0.5411447076
19	0.5229555286
20	0.5078198912
21	0.4953611146
22	0.4828711024
23	0.4714541632
24	0.4591432191
25	0.4494831417
26	0.4399517306
27	0.4314540885
28	0.4216562827
29	0.413710723
30	0.4048675091
31	0.3955503307
32	0.3872906307
33	0.3823880771
34	0.375388882
35	0.3678743428
36	0.3606165775
37	0.3521266189
38	0.3486476058
39	0.343584917
40	0.3387626749
41	0.3324654729
42	0.3292453678
43	0.3254626428
44	0.3218556623
45	0.3193182452
46	0.3149361246
47	0.3110921088
48	0.3058564782
49	0.3012707246
50	0.2958063494
51	0.2913686504
52	0.2894550313
53	0.2868862473
54	0.2843759531
55	0.2823173575
56	0.2775333694
57	0.2736151817
58	0.2702852314
59	0.2695189345
60	0.2667476768
61	0.2651545452
62	0.2631761894
63	0.2606727853
64	0.2580356662
65	0.2565429954
66	0.2555208187
67	0.2532907905
68	0.2497731126
69	0.2469318263
70	0.245850821
71	0.242299851
72	0.2408988923
73	0.2391253425
74	0.2373645295
75	0.2351630588
76	0.2337585706
77	0.2327245427
78	0.2310113132
79	0.2290064691
80	0.2280611028
81	0.2271293927
82	0.2249699163
83	0.2234514521
84	0.2207180922
85	0.2179976538
86	0.2166789005
87	0.2156227515
88	0.2148337065
89	0.2136186944
90	0.2111941624
91	0.2099993883
92	0.2086220708
93	0.206159441
94	0.2052406052
95	0.203615674
96	0.2013313407
97	0.1997091366
98	0.19878531
99	0.1971853535
100	0.1961078807
101	0.1941888018
102	0.1936743597
103	0.1918379375
104	0.190150961
105	0.1878501926
106	0.1858676992
107	0.1833512736
108	0.1819375594
109	0.1804170745
110	0.1795132771
111	0.1774478683
112	0.1763704945
113	0.1754360945
114	0.1747578185
115	0.1733737979
116	0.1723295783
117	0.1717020538
118	0.1699770978
119	0.1687442731
120	0.1670644483
121	0.1652386674
122	0.1638879622
123	0.1630292803
124	0.1616172218
125	0.1609592367
126	0.1597011403
127	0.158837755
128	0.1572921769
129	0.1560583273
130	0.154762374
131	0.1535654444
132	0.1523954919
133	0.151616263
134	0.1510478325
135	0.149601478
136	0.1486556696
137	0.1473519517
138	0.1463905931
139	0.1448001807
140	0.1438825611
141	0.1427575188
142	0.1419570669
143	0.1414806717
144	0.1411689722
145	0.1399727537
146	0.138965315
147	0.1382817315
148	0.1373427664
149	0.1368788944
150	0.1360510669
151	0.135340319
152	0.1348424179
153	0.1343186835
154	0.1332762071
155	0.1326787863
156	0.1319623721
157	0.1314488413
158	0.1306364972
159	0.1296728138
160	0.1287793287
161	0.1282911647
162	0.1272586756
163	0.1266355376
164	0.1259826183
165	0.125604219
166	0.1249643389
167	0.1248231204
168	0.1240744184
169	0.1236874984
170	0.122826175
171	0.1221995563
172	0.1218056488
173	0.1213720388
174	0.1206856869
175	0.1201667498
176	0.1194461048
177	0.1189177515
178	0.118320141
179	0.1178220849
180	0.1171938442
181	0.1168279045
182	0.1164356723
183	0.1161278143
184	0.1154675276
185	0.1149786126
186	0.1142102924
187	0.113738195
188	0.11343614
189	0.1129493669
190	0.1122660491
191	0.1118135028
192	0.1114445975
193	0.1112148208
194	0.1108557267
195	0.1104083925
196	0.1099642339
197	0.1095977598
198	0.1094041035
199	0.1092083738
200	0.1087969365
201	0.1081956344
202	0.1076287969
203	0.1074779417
204	0.1070355977
205	0.106521497
206	0.1060740717
207	0.1059276967
208	0.1054874315
209	0.1048986606
210	0.1046162749
211	0.1040425093
212	0.1036290095
213	0.103099459
214	0.1026850452
215	0.1021652733
216	0.1018546951
217	0.101522306
218	0.1011698224
219	0.1006260031
220	0.1000924095
221	0.09972529794
222	0.09959603653
223	0.09944273899
224	0.09896096929
225	0.09873145172
226	0.09822553798
227	0.09790138982
228	0.09745776163
229	0.09692373306
230	0.09667208216
231	0.09641289836
232	0.09604128769
233	0.09564987439
234	0.09528544058
235	0.09490416207
236	0.09444280991
237	0.09417968009
238	0.09367881209
239	0.09306150802
240	0.09272461287
241	0.09228789038
242	0.09209583728
243	0.09163571851
244	0.09134640565
245	0.09088110786
246	0.0905772082
247	0.09026226391
248	0.08995879929
249	0.08959440673
250	0.08926889901
251	0.08917164174
252	0.08873388744
253	0.08852572763
254	0.088319405
255	0.08802051796
256	0.08774248543
257	0.08757647484
258	0.08738821778
259	0.08719389144
260	0.08684187295
261	0.08654175079
262	0.08614420858
263	0.0857746743
264	0.08549543893
265	0.08512166868
266	0.08491027284
267	0.08475333726
268	0.08441363079
269	0.08418852644
270	0.08366140867
271	0.08343575513
272	0.08318525955
273	0.08310609756
274	0.08268719583
275	0.08234971932
276	0.08211883659
277	0.08177276895
278	0.08151743034
279	0.0811722761
280	0.08079417596
281	0.08056587953
282	0.08029124245
283	0.07982499369
284	0.07959175754
285	0.07915228814
286	0.07884679919
287	0.07842913212
288	0.07831329418
289	0.07805877284
290	0.07790816702
291	0.07761975053
292	0.07716532337
293	0.07688140874
294	0.07670299463
295	0.07644739126
296	0.07618908086
297	0.07605147716
298	0.07572354939
299	0.07558953852
300	0.0753162095
301	0.07524032958
302	0.07508540966
303	0.07489811304
304	0.07474601964
305	0.07456065667
306	0.07424686598
307	0.07410668331
308	0.07386630439
309	0.07369776762
310	0.07337947662
311	0.07322846061
312	0.07302235022
313	0.07261046485
314	0.07248204103
315	0.07204795515
316	0.07170357943
317	0.07145296656
318	0.07130496718
319	0.07112688352
320	0.07095117152
321	0.07082912639
322	0.0704075174
323	0.07020209555
324	0.06995628989
325	0.06970504731
326	0.06942960715
327	0.06932283773
328	0.0691329865
329	0.06881572856
330	0.06871657371
331	0.06846851903
332	0.06823237505
333	0.06807985231
334	0.06796964808
335	0.06779063158
336	0.06762625984
337	0.06746048761
338	0.06734932777
339	0.06714109954
340	0.06697766439
341	0.06676297968
342	0.06650855587
343	0.06625450467
344	0.0659527156
345	0.06563701407
346	0.06555772803
347	0.06537843137
348	0.06519749628
349	0.06500473152
350	0.06479583219
351	0.06467753319
352	0.06444587001
353	0.06418216222
354	0.06398908906
